establishment_or_candidate,authority,identifier_type,identifier_value,source,already_present,proposed_action,confidence
c5c5a2e6-f485-4b79-9a91-df38c611d10f,MINESUP,CREATION_ORDER,n° 08/0266/MINESUP/SG/DDES/ESUP,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
c5c5a2e6-f485-4b79-9a91-df38c611d10f,MINESUP,OPENING_AUTHORIZATION,n°12/0374/MINESUP/SG/DDES/ESUP du 17 AOUT 2012,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
7ee5177d-8b4c-47f3-aaa9-9779788c9115,MINESUP,CREATION_ORDER,N°07/0016/MINESUP du 26 février 2007,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
7ee5177d-8b4c-47f3-aaa9-9779788c9115,MINESUP,OPENING_AUTHORIZATION,N°07/0129/MINESUP du 21 septembre 2007,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
912fce41-6350-4308-8765-8ab5f47eced2,MINESUP,CREATION_ORDER,N°08/0269/MINESUP du 03 octobre 2008,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
912fce41-6350-4308-8765-8ab5f47eced2,MINESUP,OPENING_AUTHORIZATION,N°12/0366/MINESUP du 17 août 2012,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
a51759a5-78ff-4801-ae85-7468b6e484d9,MINESUP,CREATION_ORDER,N°15/06001/L/ MINESUP/SG/DDES/ESUP/SDA/NJN du 18 juin 2015,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
a51759a5-78ff-4801-ae85-7468b6e484d9,MINESUP,OPENING_AUTHORIZATION,N°15/06001/L/ MINESUP/SG/DDES/ESUP/SDA/NJN du 18 juin 2015,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
dd94a049-ffc5-4037-9e08-b8c61f7c72e3,MINESUP,CREATION_ORDER,N°14/0034/MINESUP/SG/DDES du 11 mars 2014,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
dd94a049-ffc5-4037-9e08-b8c61f7c72e3,MINESUP,OPENING_AUTHORIZATION,Provisoire N°13/07893/L/MINESUP/SG/DDES/ESUP/OAGS du 18 novembre 2013,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
faef2289-0aed-4f88-a7e8-e1f5d4f55330,MINESUP,CREATION_ORDER,N°13/0409/MINESUP/SG/DDES du 10 septembre 2013,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
faef2289-0aed-4f88-a7e8-e1f5d4f55330,MINESUP,OPENING_AUTHORIZATION,N°14/0390/MINESUP/SG/DDES/ du 04 juillet 2014,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
4294352d-156c-4d46-a53b-fbc734a7a43a,MINESUP,CREATION_ORDER,N°13/0410/MINESUP/SG/DDES du 10 septembre 2013,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
e9574400-9b8c-4bb4-a7cf-ab3945631107,MINESUP,CREATION_ORDER,N°12/0647/MINESUP/SG/DDES/ du 23 novembre 2012,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
e9574400-9b8c-4bb4-a7cf-ab3945631107,MINESUP,OPENING_AUTHORIZATION,N°14/07012/N/MINESUP/ DDES/ESUP/SDA/OPC du 07 octobre 2014,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
0dde7325-d9ae-4eb5-a789-31cead5d6c23,MINESUP,CREATION_ORDER,N°08/0099/MINESUP du 05 mai 2008,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
0dde7325-d9ae-4eb5-a789-31cead5d6c23,MINESUP,OPENING_AUTHORIZATION,N°13/0594/MINESUP du 02 décembre 2013,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
e6ca0d1f-c223-478a-bcf0-dcaf9f3233da,MINESUP,CREATION_ORDER,N°11/0532/MINESUP/SG/DDES du 05 Octobre 2011,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
e6ca0d1f-c223-478a-bcf0-dcaf9f3233da,MINESUP,OPENING_AUTHORIZATION,N°12/0398/MINESUP/SG/DDES du 17 Août 2012,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
f959c749-344e-4b25-b874-efaf05d58060,MINESUP,CREATION_ORDER,N°16-13465/MINESUP/SG/DDES/ESUP/SDA/LMN du 16 décembre 2016,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
f959c749-344e-4b25-b874-efaf05d58060,MINESUP,OPENING_AUTHORIZATION,N°16-13465/MINESUP/SG/DDES/ESUP/SDA/LMN du 16 décembre 2016,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
0e72a720-87f9-437a-b475-eed7d09e4782,MINESUP,CREATION_ORDER,N°15/08927/L/MINESUP/SG/DDES/ESUP/SDA/AEO du  18 septembre 2015.,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
0e72a720-87f9-437a-b475-eed7d09e4782,MINESUP,OPENING_AUTHORIZATION,N°15/08927/L/MINESUP/SG/DDES/ESUP/SDA/AEO du  18 septembre 2015,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
037c7154-803b-4a5a-91a0-9a2225ec4e79,MINESUP,CREATION_ORDER,N°07/0120/MINESUP du 02 octobre 2006,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
037c7154-803b-4a5a-91a0-9a2225ec4e79,MINESUP,OPENING_AUTHORIZATION,N°08/0115/MINESUP du 05 mai 2008,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
f4abb3ae-6093-4784-953a-fb7a66b80a7c,MINESUP,CREATION_ORDER,N°06/0049/MINESUP du 02 juin 2006,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
f4abb3ae-6093-4784-953a-fb7a66b80a7c,MINESUP,OPENING_AUTHORIZATION,N°07/0018/MINESUP du 26 février  2007,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
0b642da2-df91-4ff6-8393-637fb03be75e,MINESUP,CREATION_ORDER,N° 08/0271/MINESUP du 03 octobre 2008,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
0b642da2-df91-4ff6-8393-637fb03be75e,MINESUP,OPENING_AUTHORIZATION,N° 12/0390/MINESUP du 17 août 2012,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
