staging_id,name,identifier_type,identifier,status
207d940b-48c0-4851-8e12-61bc873e9fb6,Pyramid Higher Institute of Professional Studies,OPENING_AUTHORIZATION,N°06/0056/MINESUP du 02 juin 2006.,SAFE_NEW
20c6bd24-b075-46f3-987f-7b28bba783c8,Saint Louis Higher Institute of Health and Biomedical Sciences,CREATION_ORDER,N°05/0010/MINESUP du,SAFE_NEW
20c6bd24-b075-46f3-987f-7b28bba783c8,Saint Louis Higher Institute of Health and Biomedical Sciences,OPENING_AUTHORIZATION,"N°06/0056/MINESUP du 02 juin 2006,",SAFE_NEW
2f80a015-4e54-431b-bf47-dab5faece189,ST Jude’s Higher Institute of Nursing and Biomedical,CREATION_ORDER,N°07/0135/MINESUP du 21 septembre 2007,SAFE_NEW
2f80a015-4e54-431b-bf47-dab5faece189,ST Jude’s Higher Institute of Nursing and Biomedical,OPENING_AUTHORIZATION,N°07/0144/MINESUP du 21 septembre 2007,SAFE_NEW
717072ae-b3f3-40aa-8278-c7ba249de610,Taniform Higher Institute of Learning (THIL),CREATION_ORDER,N°19-04400/L/MINESUP/DDES/ESUP/SSIPES/LMN du 15 avril 2019,SAFE_NEW
717072ae-b3f3-40aa-8278-c7ba249de610,Taniform Higher Institute of Learning (THIL),OPENING_AUTHORIZATION,N°19-04400/L/MINESUP/DDES/ESUP/SSIPES/LMN du 15 avril 2019,SAFE_NEW
36a3705c-770b-4f86-baac-e8129c0a73e4,Saint Laurence Higher Institute (SLHI),CREATION_ORDER,N°1708245/L/MINESUP/SG/DDES/ESUP/SDA/DAGS du 09 Août 2017,SAFE_NEW
36a3705c-770b-4f86-baac-e8129c0a73e4,Saint Laurence Higher Institute (SLHI),OPENING_AUTHORIZATION,N°2107/MINESUP/SG/DDES/ESUP/SDA/… du 02 décembre 2021,SAFE_NEW
31965814-6dba-420e-a64b-95f664ed8f37,Saint Michael Higher Institute of Professional Studies (SHIPS),CREATION_ORDER,N°19-04625/L/MINESUP/DDES/ESUP/SSIPES/LMN du 17 avril 2019,SAFE_NEW
31965814-6dba-420e-a64b-95f664ed8f37,Saint Michael Higher Institute of Professional Studies (SHIPS),OPENING_AUTHORIZATION,N°19-04625/L/MINESUP/DDES/ESUP/SSIPES/LMN du 17 avril 2019,SAFE_NEW
eca6c03c-455a-4eb4-9332-95d4669111a6,Catholic School of Health Sciences Shisong,CREATION_ORDER,N°16-0830/MINESUP/SG/DDES/ESUP du 14 septembre 2016,SAFE_NEW
eca6c03c-455a-4eb4-9332-95d4669111a6,Catholic School of Health Sciences Shisong,OPENING_AUTHORIZATION,N°13/0052/MINESUP du  09 janvier 2013,SAFE_NEW
