staging_id,name_raw,city,region,r3_classification,match_type,cartescolaire_matricule,cartescolaire_name,cartescolaire_scheme
9641eb2e-5bc3-408b-86b2-1f12c38803d5,CETI Jeanne Alegué,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060202,CETI JEANNE ALEGUE MESSI,DIGIT_PREFIX
b4c66003-169b-4f9b-80cf-cbbfca487ad2,CETIG Bénédictin du Mt Febé,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060183,CETIG SACRE-COEUR MOKOLO,DIGIT_PREFIX
a3a8ff52-2214-445e-961f-4f68cbd04ccb,GOPAL BILINGUAL SECONDARY SCHOOL,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060164,GOPAL BILINGUAL INTERNATIONAL COLLEGE,DIGIT_PREFIX
7a48f1e0-5288-430e-8ee4-72cc24ca6454,ACADEMIC COLLEGE OF EXCELLENCE,Yaoundé,Centre,SOURCE_REVIEW,EXACT_NAME,11060110,ACADEMIC COLLEGE OF EXCELLENCE,DIGIT_PREFIX
8adeea6d-52c3-4186-a9cf-788c942ed374,BILIK-CITY BILINGUAL COMPLEX,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060112,BILIK-CITY BILINGUAL COLLEGE,DIGIT_PREFIX
18cfbc19-27e1-46f1-be7e-86dde2aa7f05,COLLEGE BILINGUE PRIVE LAIC WILLIAN BOOTH,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060121,COLLEGE BILINGUE WILLIAM BOOTH,DIGIT_PREFIX
3d9b17ff-165f-4588-a60b-5ac61d013555,COLLEGE BILINGUE SEAT OF WISDOM,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,19581218,OUR LADY SEAT OF WISDOM COLLEGE FONTEM,DIGIT_PREFIX
d175b046-532f-4397-971f-649df9870626,COLLEGE BILINGUE SIBAFO,Yaoundé,Centre,SOURCE_REVIEW,EXACT_NAME,11060120,COLLEGE BILINGUE SIBAFO,DIGIT_PREFIX
0c7c6bc1-bb03-4bc9-aebe-8961a375617b,COLLEGE FIDO,Yaoundé,Centre,SOURCE_REVIEW,EXACT_NAME,11060127,COLLEGE FIDO,DIGIT_PREFIX
5b57572c-de6b-429b-9c7b-86d06ca86be9,COLLEGE IPLEX EDUCATION,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11140109,SILOH SPECIAL EDUCATION AND INCLUSIVE BILINGUAL TEACHER TRAINING INSTITUTE,DIGIT_PREFIX
b5c86685-b04a-4df0-a495-c8dae01f95e0,COLLEGE OLIVERAIE DE NYOM,Yaoundé,Centre,DUPLICATE_REVIEW,EXACT_NAME,11060132,COLLEGE OLIVERAIE DE NYOM,DIGIT_PREFIX
f8da5961-afd3-49f1-bb6b-018df0754271,COLLEGE OMGBA NDONGO,Yaoundé,Centre,DUPLICATE_REVIEW,EXACT_NAME,11060133,COLLEGE OMGBA-NDONGO,DIGIT_PREFIX
ae93f779-c630-4d15-bcb3-e9e05ac9742f,COLLEGE PENIEL,Yaoundé,Centre,SOURCE_REVIEW,EXACT_NAME,11060134,COLLEGE PENIEL,DIGIT_PREFIX
1df14bdc-5bfc-4a27-a141-21162ae6c49d,COLLEGE PRIVE BILINGUE LES PIERRES PRECIEUSES,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060119,COLLEGE BILINGUE LES PIERRES PRECIEUSES,DIGIT_PREFIX
805375b3-eee6-4cd7-bc2b-821482efcd86,COLLEGE PRIVE LAÏC CHARLES MBAKOP,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060123,COLLEGE CHARLES ET THERESE MBAKOP,DIGIT_PREFIX
cb0abbb4-7a6a-43c6-87dc-02af4216816d,COLLEGE PRIVE LAÏC FAPO,Yaoundé,Centre,DUPLICATE_REVIEW,EXACT_NAME,11060136,COLLEGE PRIVE LAIC FAPO,DIGIT_PREFIX
3ab9ad68-123f-4118-8632-a96635b95979,COLLEGE PRIVE LAÏC L'EMERGENCE,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060140,COLLEGE PRIVE LAIC L&#039;EMERGENCE,DIGIT_PREFIX
d48e0d60-6af9-4308-a468-4189698dde6b,COLLEGE PRIVE LAÏC LA FORGE,Yaoundé,Centre,SOURCE_REVIEW,EXACT_NAME,11060137,COLLEGE PRIVE LAIC LA FORGE,DIGIT_PREFIX
5386b0c3-86a4-4d69-9c20-d4c1d118946a,COLLEGE PRIVE LAÏC MARCEL BAYARDON,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060169,INSTITUT BILINGUE MARCEL BAYARDON,DIGIT_PREFIX
d6f37126-a526-415f-ace4-c7aa5b174864,COLLEGE PRIVE LAÏC MVOM-NNAM,Yaoundé,Centre,SOURCE_REVIEW,EXACT_NAME,11060142,COLLEGE PRIVE LAIC MVOM NNAM,DIGIT_PREFIX
46cd8388-0d71-4b7f-93f4-89589c57a4ec,COLLEGE SOCRATE ELANDI,Yaoundé,Centre,SOURCE_REVIEW,EXACT_NAME,11060145,COLLEGE SOCRATE ELANDI,DIGIT_PREFIX
