official_id,official_name,region,locality,status,duplicate_of_establishment_id,match_type,match_reason
3LC1GSAD111053111,Lyce de BABUNGO,NORD-OUEST,BABUNGO,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LC1GSAD111032115,Lyce de VEMNGANG,NORD-OUEST,BABA I,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LE1GSAD101399112,CES de JOGURU,NORD-OUEST,BALIKUMBAT,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LE1GSAD102734114,CES de NJANUNG-BAFANJI,NORD-OUEST,BAFANJI,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LE1GSAD101434110,CES de NYUGU-BACKYIT,NORD-OUEST,BALIKUMBAT,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LE1GSBD111377109,Lyce Bilingue de BAFANJI,NORD-OUEST,LUNG-LUE,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LE1GSBD111060113,Lyce Bilingue de BALIKUMBAT,NORD-OUEST,BALIKUMBAT,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LE1GSAD111115098,Lyce de BALIKUMBAT,NORD-OUEST,,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LE1GSAD111045112,Lyce de BAMUNKUMBIT,NORD-OUEST,BALIKUMBAT,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LI1GSBD101125111,CES Bilingue de MBISSA-ISLAND,NORD-OUEST,BAMBALANG,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LC1GSAD100198110,CES de KOMUE,NORD-OUEST,BAMESSING,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LI1GSFD102744114,CES de MBELUE-BAMESSING,NORD-OUEST,BAMESSING,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LI1GSAD102305113,CES de MIGHANG-BAMBALANG,NORD-OUEST,BAMBALANG,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LI1GSAD102324113,CES de NTENKON-BAMUNKA,NORD-OUEST,,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LI1GSBD111432111,Lyce Bilingue de BAMALI-NDOP,NORD-OUEST,BAMALI,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LI1GSBD110989104,Lyce Bilingue de BAMESSING-NDOP,NORD-OUEST,BAMESSING,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LI1GSBD111342114,Lyce Bilingue de MBANKUONG,NORD-OUEST,BAMBALANG,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LI1GSBD111017113,Lyce Bilingue de MBEUNKONG,NORD-OUEST,BAMUNKA,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LI1GSBD111760095,Lyce Bilingue de NDOP,NORD-OUEST,BAMUNKA,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LI1GSAD110996106,Lyce de BAMBALANG,NORD-OUEST,Bambalang,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LI1GSAD111104115,Lyce de BAMUNKA-RURAL,NORD-OUEST,BAMUNKA,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CC1GSAD100908103,CES de BWIYUKU-BUEA,SUD-OUEST,BWIYUKU,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CC1GSAD102731114,CES de DIBANDA,SUD-OUEST,DIBANDA,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CC1GSAD100502113,CES de LIONGO,SUD-OUEST,LIONGO,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CC1GSAD100849111,CES de WOKEKA,SUD-OUEST,Wokeka,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CC1GSBD111860071,Lyce Bilingue de MOLYKO-BUEA,SUD-OUEST,MOLYKO,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CC1GSBD110152111,Lyce Bilingue de MUEA-BUEA,SUD-OUEST,MUEA COURT AREA,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CC1GSAD110903114,Lyce de BOLIFAMBA-MILE 16,SUD-OUEST,KUMBO,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CC1GSAD110829118,Lyce de BOMAKA-BUEA,SUD-OUEST,BOMAKA,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CC1GSAD110371105,Lyce de BONJONGO-BUEA,SUD-OUEST,Bojoke,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CC1GSAD110406096,Lyce de BUEA,SUD-OUEST,LIKOKO MEMBEA,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CC1GSAD110449111,Lyce de BUEA-RURAL,SUD-OUEST,BOKOVA,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CC1GSAD111844112,Lyce de BUEA-TOWN,SUD-OUEST,BUEA,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CC1GSAD110858118,Lyce de GREAT-SOPPO-BUEA,SUD-OUEST,GREAT SOPPO,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CE1GSAD101935112,CES de MABETA,SUD-OUEST,DIKOLO,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CE1GSBD110461092,Lyce Bilingue de LIMBE,SUD-OUEST,LIMBE,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CE1GSAD110041107,Lyce de BATOKE,SUD-OUEST,BATOK,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CE1GSAD110479113,Lyce de BONADIKOMBO-MILE 4,SUD-OUEST,BONADIKOMBO MILE 4,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CE1GSAD111852082,Lyce de LIMBE,SUD-OUEST,LIMBE 1,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CE1GSAD110491113,Lyce de MBONJO-LIMBE,SUD-OUEST,LIMBE,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CH1GSAD100386113,CES d'OWE-ROAD,SUD-OUEST,OWE,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CH1GSBD110428090,Lyce Bilingue de MUYUKA,SUD-OUEST,Muyuka,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CH1GSAD112153110,Lyce d'EKONA,SUD-OUEST,EKONA,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CH1GSAD110435109,Lyce de BAFIA-MUYUKA,SUD-OUEST,BALONG,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CH1GSAD110020104,Lyce de MALENDE-MUYUKA,SUD-OUEST,MALENDE,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CH1GSAD111948115,Lyce de MUNYENGE-MUYUKA,SUD-OUEST,MUNYENGE,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CI1GSBD110681113,Lyce Bilingue de MUDEKA,SUD-OUEST,Mudeka,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CI1GSBD110440106,Lyce Bilingue de MUTENGENE,SUD-OUEST,MUTENGENE,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CI1GSBD110485100,Lyce Bilingue de TIKO,SUD-OUEST,LIKOMBA,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CI1GSAD110140113,Lyce de MOTOMBOLOMBO,SUD-OUEST,TIKO,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6CJ1GSAD110693107,Lyce d'IDENAU,SUD-OUEST,Idenau,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EC1GSBD102323113,CES Bilingue de MUANGWEKAN,SUD-OUEST,MUANGWEKAN,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EH1GSBD101832104,CES Bilingue de NDOM-MUASUNDEM,SUD-OUEST,NDOM-MUASUNDEM,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EC1GSAD101679110,CES d'EKANJOH-BAJOH,SUD-OUEST,BANGEM,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EC1GSAD101171110,CES de MUABI,SUD-OUEST,MUABI,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EC1GSAD101668097,CES de MUEBA-NNINONG,SUD-OUEST,MUEBAH,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EC1GSAD102310113,CES de NDIBSI,SUD-OUEST,NDIBSE I,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EC1GSBD112054098,Lyce Bilingue de BANGEM,SUD-OUEST,BANGEM,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EC1GSBD112075108,Lyce Bilingue de MUAMBONG,SUD-OUEST,Muambong,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EE1GSAD101987097,CES d'ELUMBA-MBO,SUD-OUEST,ETODI,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EE1GSAD102322113,CES de BABENSI I,SUD-OUEST,Babensi 1,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EE1GSAD101108107,CES de BERMIN,SUD-OUEST,BERMIN,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EE1GSAD101122108,CES de MANYEMEN,SUD-OUEST,Manyemen,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EE1GSAD102025108,CES de MBETTA,SUD-OUEST,MBETTA,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EE1GSAD100822109,CES de NTALE,SUD-OUEST,Ntale,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EE1GSBD110678115,Lyce Bilingue de NGUTI,SUD-OUEST,NGUTI,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EE1GSAD110614107,Lyce de NJUNGO,SUD-OUEST,NJUNGO,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EH1GSBD100725108,CES Bilingue de BUBA,SUD-OUEST,Buba,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EH1GSAD100713107,CES d'ETAM,SUD-OUEST,ETAM,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EH1GSAD102813115,CES de NGOBENYOE,SUD-OUEST,0,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EH1GSAD100608097,CES de NYANDONG,SUD-OUEST,NYANDONG,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EH1GSBD110147103,Lyce Bilingue de TOMBEL,SUD-OUEST,NGAB,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EH1GSAD110467109,Lyce d'EBONJI,SUD-OUEST,Ebonji,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EH1GSAD110411112,Lyce de NGUSI,SUD-OUEST,NGUSI,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6EH1GSAD110026092,Lyce de NYASOSO,SUD-OUEST,NYASOSO II,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6HC1GSBD101117109,CES Bilingue d'EMOLAH-NWANGONG,SUD-OUEST,NWANGONG,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6HC1GSBD101103107,CES Bilingue de MBELENKA,SUD-OUEST,M'MUOCK NGIE,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6HC1GSAD102735114,CES d'EFONG,SUD-OUEST,LEWOH,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6HC1GSAD102225113,CES de NDUMBIN-NDUNGATED,SUD-OUEST,NDUNGATED,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6HC1GSBD111197114,Lyce Bilingue d'ALOU,SUD-OUEST,NDUNGATED,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6HC1GSBD111123111,Lyce Bilingue de NDUNG-NWA,SUD-OUEST,Nwasah,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6HC1GSAD110674108,Lyce d'ANYA-LEWOH,SUD-OUEST,LEWOH,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6HC1GSAD110706107,Lyce de M'MUOCK,SUD-OUEST,Fossimondi,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6HC1GSAD112184114,Lyce de M'MUOCK-MBIE,SUD-OUEST,Mmuockmbie,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6HE1GSBD100649106,CES Bilingue d'ATULIA,SUD-OUEST,LEBANG,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6HE1GSAD100602108,CES de LEBUH-MBI-FOSSUNG,SUD-OUEST,FOSSUNG,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6HE1GSBD111918110,Lyce Bilingue de FONTEM,SUD-OUEST,,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6HE1GSAD112063107,Lyce Classique de FONTEM,SUD-OUEST,FONTEM,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6HE1GSAD110488110,Lyce de NGOH-ESSOH-ATTAH,SUD-OUEST,ESSOH-ATTAH,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6HH1GSAD100144111,CES de BECHATI,SUD-OUEST,BECHATI,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6HH1GSAD100481108,CES de M'MUOCK-LETEH,SUD-OUEST,Leteh,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6HH1GSAD102461110,CES de NKONG,SUD-OUEST,NKONG FONDOM,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6HH1GSAD110553113,Lyce de BANTENG,SUD-OUEST,BAHNE,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6HH1GSAD110475108,Lyce de BESALI,SUD-OUEST,BESALI,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6HH1GSAD110671114,Lyce de MAGHA,SUD-OUEST,BAMUMBU,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6HH1GSAD110021107,Lyce de MUNDANI-WABANE,SUD-OUEST,BAMUMBU,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6IC1GSAD101926107,CES d'AKWA-AKWAYA,SUD-OUEST,AKWA,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6IC1GSAD101091099,CES de BACHE,SUD-OUEST,AKWAYA,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
6IC1GSAD101087106,CES de BALLIN,SUD-OUEST,BALLIN,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
