city,official_name,category_hint,source_name,source_url,source_type,match_type,matched_against
Yaoundé,Lycée d'Afan Oyoa,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée d'Ahala,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée Technique Industriel et Commercial Bilingue,lycee_technique_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée Technique Bilingue de Nsam-Efoulan,lycee_technique_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée Technique d'Afan Oyoa,lycee_technique_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,CETIC de Ngoa-Ekellé,cetic_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,CETIF de Ngoa Ekelle,cetif_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée Bilingue d'Ekounou,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée Bilingue d'Anguissa,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée Bilingue de Mimboman,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée d'Odza,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée de Minkan,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée Technique d'Ekounou,lycee_technique_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée Bilingue d'Essos,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée de Ngousso-Ngoulmekong,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée de Nkolmesseng,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée Bilingue de Mendong,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée Bilingue d'Etoug-Ebé,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée d'Ekorezok,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée Technique Bilingue de Nkolbisson,lycee_technique_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,ALREADY_LIVE,Lycée Technique de Nkolbisson
Yaoundé,Collège Jean Tabi,college_catholique,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-catholiques/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Collège Bénoit XVI,college_catholique,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-catholiques/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Séminaire Sainte Thérèse,college_catholique,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-catholiques/,tier3,REVIEW_REQUIRED,Garderie-Maternelle Sainte-Anne
Yaoundé,Collège Benigna d'Etoudi,college_catholique,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-catholiques/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Collège Notre-Dame de Mimetala,college_catholique,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-catholiques/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Collège Benisuza,college_catholique,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-catholiques/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Collège St Joseph de Messa Mvelé,college_catholique,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-catholiques/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Collège Notre-Dame des Victoires,college_catholique,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-catholiques/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Institut René Graffin,college_catholique,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-catholiques/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,CETIF Benigna,cetif_catholique,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-catholiques/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,CETI Sacré-Coeur de Mokolo,ceti_catholique,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-catholiques/,tier3,REVIEW_REQUIRED,École Publique de Mokolo
Yaoundé,CETI Jeanne Alegué,ceti_catholique,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-catholiques/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,CETIG Bénédictin du Mt Febé,cetig_catholique,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-catholiques/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Collège Privé Larousse,college,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Yaoundé,Complexe scolaire de l'Espérance,college,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
